ID,LESSON,BOOK_LESSON,SUBJECT,TITLE,BOOK_TITLE,TIMESTAMP,VOLUME,PAGE,DESCRIPTION,BOOK_DESCRIPTION,INVENTOR
1,1&2,1,Introduction,Tarbell 1 + 2: Introduction and Interview with Shawn Farquhar,History of Magic,0:00:10,---,---,---,,NONE
2,10-1,1,Effective Card Mysteries,The Rising Card Escape,"Magicians in the Bible, Zoroaster, Merlin, Alchemy, etc",0:00:10,1,194,"Chosen card rises from deck while deck is inside card box, sealed with rubberbands (including the magician's hand)",,NONE
3,10-1,2,Effective Card Mysteries,Sealed Card Mystery,Magic as a Science. (Principles of magic),0:05:21,1,199,spectator selects card and places it inside card box. magician uses black queens to reveal the card's value and suit by changing the queens to the value and suit of the card,,NONE
4,10-1,2,Effective Card Mysteries,A Psychological Impossibility,"	Professional Attitude, performing, practicing, misdirection, etc.",0:19:10,1,205,card placed in pocket. spectator selects packet of cards. spectator selects 1 card from packet and remembers position in packet. card disappears and reappears in magicians pocket ,,NONE
5,10-1,3,Effective Card Mysteries,The Hindu Color Changing Deck,"	Sleight of Hand with Coins (Palms, Holds, Vanishes, Aquitments)",0:28:44,1,208,red back deck switches places with blue back deck,,NONE
6,100-1,3,Magic with Apparatus,The Siberian Chain Escape,Palming Used in Coin Sleights,0:00:10,8,225,An escape using a seemingly innocent chain that has actually been carefully prepared to allow you to release yourself quite quickly and easily.,,NONE
7,100-1,3,Magic with Apparatus,The Mysterious Self-Filling Lota,Holds Used in Coin Sleights,0:08:25,8,228,"A metal vase with the uncanny ability to re-fill itself, many times.",,NONE
8,100-1,3,Magic with Apparatus,Tarbell's Ball and Vase Routine,Manipulative Methods for Vanishing a Coin,0:24:42,8,231,"Dan Harlan's Ball Vase routine which gives you many magical moments, and even fools when you explain how it works.",,NONE
9,100-1,3,Magic with Apparatus,Tarbell's Orange Vase Combination,Tarbell's Improved Le Tourniquet Vanish,0:42:56,8,232,"A giant eyeball, or two, transforms and transports itself in this strange ball vase routine.",,NONE
10,100-1,3,Magic with Apparatus,The Bran Vase,Le Paul's Improved Le Tourniquet Vanish,1:04:08,8,234,"Transform shredded paper into money, party favors, decorations, and even a cake!",,NONE
11,100-1,3,Magic with Apparatus,The Dove Pan,Berg's Thumb Coin Vanish,1:22:17,8,237,Burning money in a pan is transformed into fruit. The money is found inside the fruit.,,NONE
12,100-1,3,Magic with Apparatus,Ching Ling Foo's Magic Water Can,To Get Rid of a Coin After Vanishing It in Hand,1:40:17,8,241,A jug which can make liquid appear.,,NONE
13,100-1,4,Magic with Apparatus,The Welsh Rarebit,Coin Tricks,1:40:17,8,243,You'll learn how to customize a hard-to-find prop to produce your own interactive cooking show.,,NONE
14,100-1,4,Magic with Apparatus,The Magic Chocolates,The Dissolving Coin,2:07:31,8,246,"Tasty chocolates jump from a glass, instantly back into its package",A marked coin vanishes when dropped in water glass,NONE
15,100-1,4,Magic with Apparatus,The Wandering Glass and Bottle,Vanishing Coin in Handkerchief,2:17:11,8,250,"Three tricks are combined into one fast and funny routine with customized props and tons of terrific comedy moments, perfect for a partner act.",A coin vanishes under a handkerchief,NONE
16,100-1,4,Magic with Apparatus,"Bottle, Bottle, Where's the Bottle",Coin through Handkerchief,2:17:11,8,258,"Three tricks are combined into one fast and funny routine with customized props and tons of terrific comedy moments, perfect for a partner act.",a coin penetrates a handkerchief,NONE
17,100-1,4,Magic with Apparatus,Comedy Version,Copper Or Silver Penetration,2:17:11,8,255,"Three tricks are combined into one fast and funny routine with customized props and tons of terrific comedy moments, perfect for a partner act.","Two coins wrapped in a handkerchief, selected coin penetrates",NONE
18,100-1,4,Magic with Apparatus,"Tarbell's ""Society Special"" Black Art Table",Pencil Coin Vanish and Reappearance,2:46:36,8,262,"Learn to make your own versatile table helping you vanish, produce, and exchange objects as demonstrated by a surprising lemonade-making routine.",Coin vanishes and reappears using pencil wand,NONE
19,100-1,5,Magic with Apparatus,Super Vanish of Doves,More Coin Tricks,3:09:58,8,271,A modern version of an instant vanish of any small animal,,NONE
